Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
The outermost layer of connective tissue (underneath the fascia) surrounding a skeletal muscle is called the ________,epimysium,perimysium,endomysium,sarcomysium,epimysium,A,F - Muscular System & Contraction,AP-19-F-09-01,Describe connective tissue coverings associated with skeletal muscle.,Chapter 9: Muscular System,The epimysium is the layer of dense connective tissue that closely surrounds an entire skeletal muscle organ.
Neurotransmitters are stored in vesicles within ________,myofibrils,motor units,motor end plates,motor neuron endings,motor neuron endings,D,F - Muscular System & Contraction,AP-19-F-09-03,Describe the structure and function of the neuromuscular junction.,Chapter 9: Muscular System,Synaptic vesicles containing neurotransmitters (such as acetylcholine) are stored inside the presynaptic axon terminals (motor neuron endings).
The type of muscle cell that lacks transverse tubules is not striated has a single nucleus and is not under voluntary control is ________,skeletal muscle,smooth muscle,cardiac muscle,striated muscle,smooth muscle,B,F - Muscular System & Contraction,AP-19-F-09-02,Distinguish between muscle tissue types based on microscopic structure.,Chapter 9: Muscular System,Smooth muscle cells are non-striated spindle-shaped uninucleated lack T-tubules and function involuntarily.
A neuromuscular junction can be described as ________,junction between motor neuron and muscle fiber,gap or cleft between neuron and muscle,site where neurotransmitters are released,All of these are correct,All of these are correct,D,F - Muscular System & Contraction,AP-19-F-09-03,Describe the structural features of the neuromuscular junction.,Chapter 9: Muscular System,The neuromuscular junction is the synapse between a motor neuron axon terminal and a skeletal muscle fiber featuring a synaptic cleft across which neurotransmitters are released.
Which of the following major events in muscle contraction is stated properly?,Tropomyosin molecules move to expose sites on myosin,Actin filaments slide along myosin filaments,Cross-bridges form between actin and sarcolemma,All of these are correct,Actin filaments slide along myosin filaments,B,F - Muscular System & Contraction,AP-19-F-09-04,Explain the sliding filament model of muscle contraction.,Chapter 9: Muscular System,According to the sliding filament theory thin (actin) filaments slide past thick (myosin) filaments toward the center of the sarcomere shortening the muscle.
In which type of contraction may muscle fibers lengthen or shorten while maintaining equal tension?,isotonic,isometric,eccentric,tetanic,isotonic,A,F - Muscular System & Contraction,AP-19-F-09-07,Distinguish between isotonic and isometric muscle contractions.,Chapter 9: Muscular System,In an isotonic contraction muscle tension remains constant while the muscle changes length.
What is the name of the structure that attaches muscle to bone and pulls on the bone when the muscle contracts?,ligament,tendon,aponeuroses,fascia,tendon,B,F - Muscular System & Contraction,AP-19-F-09-01,Describe muscle attachments including tendons and aponeuroses.,Chapter 9: Muscular System,A tendon is a tough band of dense regular connective tissue connecting muscle to the periosteum of bone.
The striated appearance of skeletal muscle results from the ________,transverse tubule pattern,sarcoplasmic reticulum network,sarcomere arrangement,cisternae placement,sarcomere arrangement,C,F - Muscular System & Contraction,AP-19-F-09-02,Explain the structural basis of skeletal muscle striations.,Chapter 9: Muscular System,The repeating pattern of dark A-bands and light I-bands within organized sarcomeres produces microscopic striations.
The functional contractile unit of a skeletal muscle fiber bounded by two adjacent Z lines is called a,sarcolemma,sarcomere,myofibril,myofilament,sarcomere,B,F - Muscular System & Contraction,AP-19-F-09-02,Define the sarcomere as the functional unit of contraction.,Chapter 9: Muscular System,A sarcomere is the microscopic segment of a myofibril extending from one Z line to the next Z line.
During excitation-contraction coupling calcium ions released from the sarcoplasmic reticulum bind directly to which regulatory protein?,Actin,Myosin,Troponin,Tropomyosin,Troponin,C,F - Muscular System & Contraction,AP-19-F-09-04,Describe the role of calcium ions and regulatory proteins in muscle contraction.,Chapter 9: Muscular System,Calcium ions bind to troponin altering its shape and shifting tropomyosin away from active binding sites on actin.
Which molecule must bind to the myosin head to cause cross-bridge detachment from the actin filament during a contraction cycle?,Calcium,Acetylcholine,ATP,Creatine phosphate,ATP,C,F - Muscular System & Contraction,AP-19-F-09-04,Explain the role of ATP in cross-bridge cycling and muscle relaxation.,Chapter 9: Muscular System,Binding of a new ATP molecule to the myosin head induces cross-bridge detachment from actin.
Which high-energy compound stored in muscle fibers rapidly regenerates ATP from ADP during early intense muscle activity?,Glycogen,Lactic acid,Creatine phosphate,Myoglobin,Creatine phosphate,C,F - Muscular System & Contraction,AP-19-F-09-05,Describe cellular energy pathways for regenerating ATP in active muscle.,Chapter 9: Muscular System,Creatine phosphate rapidly transfers its high-energy phosphate group to ADP to synthesize ATP during initial exercise.
Which enzyme breaks down acetylcholine in the synaptic cleft to prevent continuous muscle fiber stimulation?,Creatine kinase,Acetylcholinesterase,ATPase,Lactic dehydrogenase,Acetylcholinesterase,B,F - Muscular System & Contraction,AP-19-F-09-03,Explain termination of neuromuscular transmission.,Chapter 9: Muscular System,Acetylcholinesterase hydrolyzes acetylcholine in the synaptic cleft terminating the muscle action potential.
Which iron-containing protein pigment stored in muscle sarcoplasm binds and holds oxygen for cellular respiration?,Hemoglobin,Myoglobin,Cytochrome,Albumin,Myoglobin,B,F - Muscular System & Contraction,AP-19-F-09-05,Describe oxygen supply and storage in skeletal muscle fibers.,Chapter 9: Muscular System,Myoglobin is a pigment in muscle cells that binds and stores oxygen supporting aerobic cellular respiration.
A contraction in which muscle tension increases significantly but the muscle length remains unchanged is called an,isotonic contraction,isometric contraction,eccentric contraction,aponeurotic contraction,isometric contraction,B,F - Muscular System & Contraction,AP-19-F-09-07,Distinguish between isotonic and isometric muscle contractions.,Chapter 9: Muscular System,In an isometric contraction muscle tension increases against a resistance without changing overall muscle length.
