Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
Endoplasmic reticulum is best described as a,formless liquid,cellular inclusion,network of interconnected membranes,membranous sac,network of interconnected membranes,C,C - Chemistry & Cell Biology,AP-19-C-07-01,Describe the structure and function of the cellular organelles.,Chapter 3: Cellular Level of Organization,The endoplasmic reticulum (ER) is a complex system of interconnected membranous tubules and sacs (cisternae) involved in protein synthesis and lipid metabolism.
The two main components of the cell membrane are,lipids and carbohydrates,proteins and carbohydrates,lipids and proteins,carbohydrates and polysaccharides,lipids and proteins,C,C - Chemistry & Cell Biology,AP-19-C-07-02,"Describe the structure of the plasma (cell) membrane, including its composition and arrangement of lipids, proteins, and carbohydrates.",Chapter 3: Cellular Level of Organization,"The plasma membrane consists primarily of a phospholipid bilayer (lipids) studded with embedded and peripheral proteins that act as channels, receptors, and enzymes."
Osmosis is defined as the movement of,any molecules high to low concentration,water molecules high to low concentration,water molecules low to high concentration,ions low to high pressure,water molecules high to low concentration,B,C - Chemistry & Cell Biology,AP-19-C-08-04,Define osmosis and explain how it differs from simple diffusion across membranes.,Chapter 3: Cellular Level of Organization,Osmosis is the net diffusion of water molecules across a selectively permeable membrane down the water concentration gradient (from high water/low solute to low water/high solute concentration).
In what phase of cell reproduction do the chromosomes duplicate?,prophase,interphase,metaphase,telophase,interphase,B,C - Chemistry & Cell Biology,AP-19-C-13-01,"Describe the general phases (e.g., G phases, S phase, cellular division) of the cell cycle.",Chapter 3: Cellular Level of Organization,DNA replication (chromosome duplication) occurs during the S (Synthesis) phase of interphase before mitosis begins.
When do nuclear envelopes reassemble around two daughter cells?,telophase,prophase,interphase,metaphase,telophase,A,C - Chemistry & Cell Biology,AP-19-C-06-01,"Describe the three main parts of a cell (plasma membrane, cytoplasm, nucleus), and explain the general functions of each part.",Chapter 3: Cellular Level of Organization,"During telophase, nuclear membranes re-form around each newly separated group of daughter chromosomes as chromatin uncoils."
What is the name of the type of cell that comes first in the process of cell differentiation?,differentiated cell,progenitor,stem cell,fibroblast,stem cell,C,C - Chemistry & Cell Biology,AP-19-C-06-01,Describe cell differentiation and stem cell functionality.,Chapter 3: Cellular Level of Organization,Stem cells are unspecialized precursor cells capable of self-renewal and giving rise to specialized differentiated cell lineages.
What is the difference between a benign tumor and a cancerous tumor?,Cancerous tumors metastasize/benign do not,Benign tumors metastasize/cancerous do not,Benign tumors are never dangerous/cancerous always life threatening,Cancerous tumors always require surgery/benign do not,Cancerous tumors metastasize/benign do not,A,C - Chemistry & Cell Biology,AP-19-C-08-04,Explain how uncontrolled cell division leads to tumor development and malignancy.,Chapter 3: Cellular Level of Organization,"Malignant (cancerous) tumors display invasiveness and metastasis (spreading to distant tissues), whereas benign tumors remain localized within a tissue capsule."
The aroma of cookies baking in the kitchen reaches you in the living room. The distribution of this odor throughout the house is an example of,active transport,dialysis,filtration,diffusion,diffusion,D,C - Chemistry & Cell Biology,AP-19-C-08-03,"Compare and contrast facilitated diffusion, primary active transport, and secondary active transport.",Chapter 3: Cellular Level of Organization,Diffusion is the passive net movement of particles from an area of higher concentration to an area of lower concentration driven by intrinsic molecular kinetic energy.
A red blood cell that is placed in a hypertonic solution,gains water,loses water,floats,neither gains nor loses water,loses water,B,C - Chemistry & Cell Biology,AP-19-C-03-01,"Predict the movement of water across a membrane when a cell is placed in an isotonic, hypotonic, or hypertonic solution.",Chapter 3: Cellular Level of Organization,"In a hypertonic solution (higher solute concentration outside the cell), water leaves the cell by osmosis, causing red blood cells to shrink or crenate."
A selectively permeable membrane is defined as one that ________,allows all substances to pass through,allows all organic substances to pass through,allows some substances to pass through and excludes others,allows no substances to pass through,allows some substances to pass through and excludes others,C,C - Chemistry & Cell Biology,AP-19-C-04-01,Explain the selectively permeable nature of biological membranes.,Chapter 3: Cellular Level of Organization,A selectively permeable membrane regulates cell composition by permitting specific molecules (like water and small nonpolar solute) to pass while blocking others.
"Which organelle possesses double membranes, its own circular DNA, and acts as the primary site of aerobic cellular respiration to generate ATP?",Lysosome,Mitochondrion,Golgi apparatus,Peroxisome,Mitochondrion,B,C - Chemistry & Cell Biology,AP-19-C-07-01,Describe the structure and function of cellular organelles.,Chapter 3: Cellular Level of Organization,Mitochondria convert chemical energy stored in nutrients into ATP via aerobic cellular respiration.
Which membrane-bound vesicle contains potent digestive hydrolytic enzymes responsible for degrading damaged organelles and foreign particles ingested by the cell?,Peroxisome,Ribosome,Lysosome,Endoplasmic reticulum,Lysosome,C,C - Chemistry & Cell Biology,AP-19-C-07-01,Describe the structure and function of cellular organelles.,Chapter 3: Cellular Level of Organization,"Lysosomes contain acid hydrolases that digest phagocytosed debris, pathogens, and cellular organelles targeted for recycling (autophagy)."
The Na+/K+ ATPase pump moves sodium and potassium ions against their concentration gradients across the plasma membrane by directly consuming ATP. This process is classified as:,Simple diffusion,Facilitated diffusion,Primary active transport,Secondary active transport,Primary active transport,C,C - Chemistry & Cell Biology,AP-19-C-08-03,"Compare and contrast facilitated diffusion, primary active transport, and secondary active transport.",Chapter 3: Cellular Level of Organization,Primary active transport uses direct ATP hydrolysis to pump 3 Na+ ions out of the cell and 2 K+ ions into the cell against their electrochemical gradients.
White blood cells engulfing large solid bacteria particles by extending pseudopods around them to form a vesicle is an example of which vesicular transport process?,Pinocytosis,Phagocytosis,Exocytosis,Receptor-mediated endocytosis,Phagocytosis,B,C - Chemistry & Cell Biology,AP-19-C-08-06,Describe vesicular transport mechanisms including endocytosis and exocytosis.,Chapter 3: Cellular Level of Organization,Phagocytosis ('cell eating') is an endocytic mechanism where large solid particles or microbes are enclosed in pseudopodia to form a phagosome vesicle.
During which specific phase of mitosis do duplicated chromosomes align along the equatorial plane of the cell attached to spindle fibers?,Prophase,Metaphase,Anaphase,Telophase,Metaphase,B,C - Chemistry & Cell Biology,AP-19-C-13-02,Describe the events that take place during each phase of mitosis.,Chapter 3: Cellular Level of Organization,"In metaphase, sister chromatids line up in single file along the equatorial metaphase plate connected to mitotic spindle fibers."
