Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
A nociceptor is a type of ________ receptor,mechanoreceptor,photoreceptor,pain receptor,chemoreceptor,pain receptor,C,G - Nervous System & Action Potentials,AP-19-G-09-01,Classify sensory receptors by stimulus type.,Chapter 12: Nervous System III – Somatic and Special Senses,Nociceptors are specialized free nerve endings that function as pain receptors responding to tissue damage.
The process of adjusting the lens curvature to focus on a near or distant object is called ________,adaptation,accommodation,refraction,convergence,accommodation,B,G - Nervous System & Action Potentials,AP-19-G-09-04,Explain visual accommodation mechanisms of the eye.,Chapter 12: Nervous System III – Somatic and Special Senses,Accommodation is the adjustment of lens curvature via ciliary muscle contraction to focus light from varying distances onto the retina.
The actual sensory receptors for hearing and equilibrium are,chemoreceptors,otoliths,cochlear cells,hair cells,hair cells,D,G - Nervous System & Action Potentials,AP-19-G-09-05,Identify sensory receptors for hearing and balance.,Chapter 12: Nervous System III – Somatic and Special Senses,Hair cells are specialized mechanoreceptors with stereocilia located in the spiral organ of Corti and vestibular maculae/cristae.
Which type of sensory information travels on optic nerve fibers?,sight,sound,taste,smell,sight,A,G - Nervous System & Action Potentials,AP-19-G-09-04,Trace the visual pathway along cranial nerves.,Chapter 12: Nervous System III – Somatic and Special Senses,Optic nerve (CN II) fibers conduct visual sensory action potentials from retinal ganglion cells to the brain.
Which type of equilibrium is most active when the head and body suddenly move or rotate?,static equilibrium,dynamic equilibrium,gravitational equilibrium,linear equilibrium,dynamic equilibrium,B,G - Nervous System & Action Potentials,AP-19-G-09-05,Distinguish between static and dynamic equilibrium.,Chapter 12: Nervous System III – Somatic and Special Senses,Dynamic equilibrium detects sudden angular rotation or acceleration of the head via hair cells in the semicircular canal ampullae.
Sound waves are detected by ________ receptors in the inner ear.,chemo,thermo,mechano,photo,mechano,C,G - Nervous System & Action Potentials,AP-19-G-09-05,Classify hearing receptors by energy transduction type.,Chapter 12: Nervous System III – Somatic and Special Senses,Hearing involves mechanoreceptors (hair cells) that convert mechanical fluid vibrations into nerve impulses.
Stimulation of a ________ usually results in the perception of pain.,Meissner's corpuscle,Pacinian corpuscle,visceroceptor,free nerve ending,free nerve ending,D,G - Nervous System & Action Potentials,AP-19-G-09-01,Identify receptors for somatic pain sensation.,Chapter 12: Nervous System III – Somatic and Special Senses,Unencapsulated free nerve endings in tissues function as nociceptors to detect painful chemical thermal or mechanical stimuli.
Which cortical brain area allows one to consciously perceive the aroma of food?,olfactory cortex,olfactory lobe,olfactory bulb,olfactory tract,olfactory cortex,A,G - Nervous System & Action Potentials,AP-19-G-09-02,Trace the olfactory sensory pathway to the cerebral cortex.,Chapter 12: Nervous System III – Somatic and Special Senses,The primary olfactory cortex in the temporal lobe interprets nerve impulses originating from olfactory receptor cells.
The anatomical purpose of the auricle (pinna) of the outer ear is to,dampen sound vibrations,vibrate in response to pitch,amplify fluid pressure,act as a collector of sound waves,act as a collector of sound waves,D,G - Nervous System & Action Potentials,AP-19-G-09-05,Describe external ear structures and funneling of sound.,Chapter 12: Nervous System III – Somatic and Special Senses,The outer auricle funnels and collects airborne sound waves directing them into the external acoustic meatus.
The first structure to vibrate in response to airborne sound waves entering the ear canal is the,auricle,malleus,organ of Corti,tympanic membrane,tympanic membrane,D,G - Nervous System & Action Potentials,AP-19-G-09-05,Trace sound transmission across the middle ear.,Chapter 12: Nervous System III – Somatic and Special Senses,Sound waves striking the tympanic membrane (eardrum) cause it to vibrate back and forth transferring energy to auditory ossicles.
The auditory perception center responsible for interpreting sound is located within the,thalamus,midbrain,temporal lobe,medulla oblongata,temporal lobe,C,G - Nervous System & Action Potentials,AP-19-G-09-05,Identify cerebral cortex centers for hearing.,Chapter 12: Nervous System III – Somatic and Special Senses,Nerve impulses for hearing travel along the vestibulocochlear nerve (CN VIII) to the primary auditory cortex in the temporal lobe.
Gustatory sensations of taste are primarily perceived and interpreted in which lobe of the cerebrum?,temporal,parietal,occipital,frontal,parietal,B,G - Nervous System & Action Potentials,AP-19-G-09-03,Trace gustatory sensory pathways to the cortex.,Chapter 12: Nervous System III – Somatic and Special Senses,Taste impulses travel to the gustatory cortex located in the insula/parietal lobe.
Which cranial nerve does NOT provide a pathway for taste sensation?,CN I,CN VII,CN IX,CN X,CN I,A,G - Nervous System & Action Potentials,AP-19-G-09-03,Identify cranial nerves transmitting gustatory vs olfactory impulses.,Chapter 12: Nervous System III – Somatic and Special Senses,CN I is the Olfactory nerve for smell. Taste is carried by CN VII (Facial) CN IX (Glossopharyngeal) and CN X (Vagus).
Which photoreceptors in the retina are most sensitive and active under conditions of low light (dim vision)?,rods,cones,maculae,bipolar cells,rods,A,G - Nervous System & Action Potentials,AP-19-G-09-04,Compare structure and function of retinal rods and cones.,Chapter 12: Nervous System III – Somatic and Special Senses,Rods are highly sensitive photoreceptors responsible for non-color vision in dim light whereas cones require bright light for sharp color vision.
Which cerebral lobe is primarily responsible for receiving and perceiving visual images?,occipital lobe,frontal lobe,temporal lobe,parietal lobe,occipital lobe,A,G - Nervous System & Action Potentials,AP-19-G-09-04,Identify cortical visual processing areas.,Chapter 12: Nervous System III – Somatic and Special Senses,Visual signals from the retina travel along optic tracts to the primary visual cortex located in the occipital lobe.
