Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
Which subatomic particle has a negative charge?,neutron,ion,electron,proton,electron,C,C - Chemistry & Cell Biology,AP-19-C-01-02,"Describe the charge, mass, and relative location of electrons, protons, and neutrons in an atom.",Chapter 2: Chemical Basis of Life,Electrons are negatively charged subatomic particles that orbit the atomic nucleus in electron shells.
What is the definition of an ion?,Particle lost/gained electron with electrical charge,Particle formed by chemical union of two atoms,Relatively large subatomic particle positive charge,Smallest particle of element with properties of element,Particle lost/gained electron with electrical charge,A,C - Chemistry & Cell Biology,AP-19-C-01-05,Explain how ions and isotopes are produced by changing the relative number of specific subatomic particles.,Chapter 2: Chemical Basis of Life,"An ion is an atom or molecule that has gained or lost one or more valence electrons, giving it a net positive (cation) or negative (anion) electrical charge."
Which type of bond is the strongest and most stable?,Ionic bond,Covalent bond,Hydrogen bond,Polar bond,Covalent bond,B,C - Chemistry & Cell Biology,AP-19-C-02-03,"List the following types of bonds in order by relative strength: nonpolar covalent, polar covalent, ionic, and hydrogen bonds.",Chapter 2: Chemical Basis of Life,Covalent bonds involve the sharing of electron pairs between atoms and represent the strongest and most stable chemical bonds in biological molecules.
Which ion has a positive charge?,a cation,an anion,an isotope,a polar molecule,a cation,A,C - Chemistry & Cell Biology,AP-19-C-01-04,"Compare and contrast the terms ion, electrolyte, free radical, isotope, and radioisotope.",Chapter 2: Chemical Basis of Life,"A cation is a positively charged ion formed when an atom loses one or more electrons (e.g., Na+, K+, Ca2+)."
What type of molecule is a polar molecule?,a molecule of NaCl,a molecule of NaOH,A hydrogen molecule,A molecule of water,A molecule of water,D,C - Chemistry & Cell Biology,AP-19-C-01-01,"Compare and contrast the terms atoms, elements, molecules, and compounds.",Chapter 2: Chemical Basis of Life,"Water (H2O) is a polar molecule because oxygen pulls shared electrons more strongly than hydrogen, creating partial negative and positive poles."
AB + CD --> AD + CB represents which type of chemical reaction?,decomposition,synthesis,exchange reaction,reversible reaction,exchange reaction,C,C - Chemistry & Cell Biology,AP-19-C-04-03,"Define and provide examples of chemical reactions including synthesis, decomposition, and exchange reactions.",Chapter 2: Chemical Basis of Life,An exchange (or replacement) reaction involves trading parts between two compounds to form two new compounds (AB + CD -> AD + CB).
Electrolytes are substances that,form covalent bonds with water,ionize when dissolved in water,cannot conduct electricity in solution,are not found in the human body,ionize when dissolved in water,B,C - Chemistry & Cell Biology,AP-19-C-03-01,Describe the physiologically important properties of water and electrolytes.,Chapter 2: Chemical Basis of Life,"Electrolytes dissociate (ionize) into positive and negative ions when dissolved in water, allowing the solution to conduct electric currents."
The pH scale measures the,concentration of hydrogen ions in solution,amounts of salts dissolved in water,number of hydroxide ions in water,strength of electrical current,concentration of hydrogen ions in solution,A,C - Chemistry & Cell Biology,AP-19-C-03-03,"Define the terms salt, pH, acid, base, and buffer.",Chapter 2: Chemical Basis of Life,"The pH scale is a negative logarithmic measurement of the hydrogen ion concentration [H+] in a solution, ranging from 0 (acidic) to 14 (basic)."
A substance dissociates into K+ and Cl- in solution. The substance is a(n) ________,Acid,Base,Salt,Buffer,Salt,C,C - Chemistry & Cell Biology,AP-19-C-03-03,"Define the terms salt, pH, acid, base, and buffer.",Chapter 2: Chemical Basis of Life,A salt is an electrolyte compound formed by ionic bonding that dissociates in water into cations other than H+ and anions other than OH-.
The atoms can combine with other atoms by forming links called bonds. These bonds result by interactions of ________ subatomic particles of one atom with another atom,Protons,Electrons,Neutrons,Nuclei,Electrons,B,C - Chemistry & Cell Biology,AP-19-C-01-02,"Describe the charge, mass, and relative location of electrons, protons, and neutrons in an atom.",Chapter 2: Chemical Basis of Life,"Chemical bonds form through interactions (gaining, losing, or sharing) of valence electrons between atoms."
