Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
Anabolic metabolism includes,synthesis of substances,all processes needed to maintain life,destructive processes,changes of larger molecules into smaller ones,synthesis of substances,A,C - Chemistry & Cell Biology,AP-19-C-04-01,Compare and contrast anabolism and catabolism.,Chapter 4: Cellular Metabolism,Anabolism consists of constructive metabolic reactions that synthesize larger complex molecules from smaller subunits requiring an input of cellular energy.
Which of the following provides the best model to illustrate the way an enzyme interacts with another molecule?,lock and key,reflecting light beam,rolling wheel,bouncing ball,lock and key,A,C - Chemistry & Cell Biology,AP-19-C-04-07,Define enzyme and describe factors that affect enzyme activity.,Chapter 4: Cellular Metabolism,The lock and key model illustrates how an enzyme active site fits specifically with its complementary substrate molecule to catalyze a reaction.
Which of the following substances increases during cellular respiration?,oxygen,glucose,ATP,glycogen,ATP,C,C - Chemistry & Cell Biology,AP-19-C-05-02,Describe the generalized reversible reaction for ATP synthesis and the release of energy from ATP.,Chapter 4: Cellular Metabolism,Cellular respiration breaks down nutrient molecules such as glucose to phosphorylate ADP leading to a net increase in high-energy ATP molecules.
Which type of reaction requires sufficient oxygen for the formation of ATP molecules?,glycolysis,anaerobic respiration,aerobic respiration,dehydration synthesis,aerobic respiration,C,C - Chemistry & Cell Biology,AP-19-C-12-01,Define the term cellular respiration and distinguish between aerobic and anaerobic pathways.,Chapter 4: Cellular Metabolism,Aerobic respiration requires oxygen as the final electron acceptor in the electron transport chain inside mitochondria to generate large yields of ATP.
Genes are functional regions found within molecules of,ribonucleic acid (RNA),adenosine triphosphate (ATP),adenine and guanine,deoxyribonucleic acid (DNA),deoxyribonucleic acid (DNA),D,C - Chemistry & Cell Biology,AP-19-C-13-03,Describe DNA replication and the structure and function of genetic code.,Chapter 4: Cellular Metabolism,Genes are functional segments along DNA strands that contain genetic sequences encoding specific functional RNA molecules and proteins.
What type of chemical reaction bonds monosaccharides together to form polysaccharides by releasing a water molecule?,Hydrolysis,Dehydration synthesis,Oxidation-reduction,Deamination,Dehydration synthesis,B,C - Chemistry & Cell Biology,AP-19-C-04-01,Compare and contrast dehydration synthesis and hydrolysis reactions.,Chapter 4: Cellular Metabolism,Dehydration synthesis is an anabolic reaction that links monomer subunits together while releasing a water molecule as a byproduct.
The breakdown of large organic molecules into smaller units by the addition of water molecules is known as,hydrolysis,dehydration synthesis,phosphorylation,transcription,hydrolysis,A,C - Chemistry & Cell Biology,AP-19-C-04-01,Compare and contrast dehydration synthesis and hydrolysis reactions.,Chapter 4: Cellular Metabolism,Hydrolysis is a catabolic reaction in which a water molecule is consumed to break chemical bonds in polymers yielding monomers.
How do enzymes increase the rate of chemical reactions in human cells?,By adding heat energy to the reaction,By increasing the concentration of reactants,By lowering the activation energy required for the reaction,By converting endergonic reactions into exergonic reactions,By lowering the activation energy required for the reaction,C,C - Chemistry & Cell Biology,AP-19-C-04-07,Define enzyme and describe factors that affect enzyme activity.,Chapter 4: Cellular Metabolism,Enzymes act as biological catalysts by reducing the activation energy required to initiate a chemical reaction enabling rapid reaction rates at body temperature.
A non-protein molecule or ion such as an iron ion or vitamin derivative required for an enzyme to function is a,substrate,cofactor or coenzyme,competitive inhibitor,product,cofactor or coenzyme,B,C - Chemistry & Cell Biology,AP-19-C-04-07,Define enzyme and describe factors that affect enzyme activity.,Chapter 4: Cellular Metabolism,Cofactors and coenzymes assist enzymes by stabilizing active site geometry or transferring chemical groups.
Where in the cell does glycolysis take place and what is its net ATP yield per glucose molecule?,Mitochondrial matrix; 36 ATP,Inner mitochondrial membrane; 32 ATP,Cytosol (cytoplasm); 2 ATP,Nucleus; 4 ATP,Cytosol (cytoplasm); 2 ATP,C,C - Chemistry & Cell Biology,AP-19-C-12-02,Describe the major steps of glycolysis the citric acid cycle and electron transport chain.,Chapter 4: Cellular Metabolism,Glycolysis occurs in the cytosol without requiring oxygen producing 2 pyruvic acid molecules and a net yield of 2 ATP per glucose molecule.
