Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
The femur (thigh) bone is classified as a,short bone,long bone,irregular bone,flat bone,long bone,B,E - Skeletal System & Joints,AP-19-F-03-01,Classify bones according to shape.,Chapter 7: Skeletal System,Long bones (such as the femur humerus and radius) have extended longitudinal shafts and expanded ends.
What is the name of the largest bone in the arm?,radius,ulna,tibia,humerus,humerus,D,E - Skeletal System & Joints,AP-19-F-07-02,Identify major bones of the appendicular skeleton.,Chapter 7: Skeletal System,The humerus is the longest and largest bone of the upper limb extending from the shoulder to the elbow.
A ________ fracture occurs when the broken bone is exposed to the outside by an opening in the skin,pathologic,simple,traumatic,compound,compound,D,E - Skeletal System & Joints,AP-19-F-05-06,Explain the types of bone fractures and repair.,Chapter 7: Skeletal System,A compound (open) fracture occurs when bone fragments pierce through skin tissue increasing infection risk.
The long shaft of a bone such as the femur is called its,epiphysis,epiphyseal plate,periosteum,diaphysis,diaphysis,D,E - Skeletal System & Joints,AP-19-F-03-02,Identify structural components of a long bone.,Chapter 7: Skeletal System,The diaphysis is the main elongated tubular shaft of a long bone between the two epiphyses.
Spongy bone is also referred to as _________ bone,cancellous,compact,cortical,fibrous,cancellous,A,E - Skeletal System & Joints,AP-19-F-04-01,Distinguish between compact and spongy bone histology.,Chapter 7: Skeletal System,Spongy bone (cancellous bone) is composed of a meshwork of trabeculae that lightens bone weight while providing structural support.
The center of each osteon contains the ________,osteoblasts,Volkmann canal,central (Haversian) canal,lacunae,central (Haversian) canal,C,E - Skeletal System & Joints,AP-19-F-04-01,Describe microscopic anatomy of an osteon in compact bone.,Chapter 7: Skeletal System,The central (Haversian) canal runs longitudinally down the center of each osteon housing blood vessels and nerves.
Which of the following is NOT a cranial bone?,frontal,lacrimal,sphenoid,ethmoid,lacrimal,B,E - Skeletal System & Joints,AP-19-F-07-01,Distinguish between cranial and facial bones of the skull.,Chapter 7: Skeletal System,The lacrimal bone is a small facial bone located in the medial orbit wall not one of the 8 cranial bones.
How many lumbar vertebrae are there?,seven,twelve,one,five,five,D,E - Skeletal System & Joints,AP-19-F-07-01,Identify vertebral column regions and vertebral counts.,Chapter 7: Skeletal System,The human lumbar region consists of 5 large vertebrae (L1-L5) designed to support lower back body weight.
What organ system is the location of blood cell production?,cardiovascular,digestive,skeletal,nervous,skeletal,C,E - Skeletal System & Joints,AP-19-F-01-01,List functions of the skeletal system including hematopoiesis.,Chapter 7: Skeletal System,The skeletal system houses red bone marrow the primary site of hematopoiesis (blood cell production).
The cells responsible for removing excess bone tissue after the fracture repair process are,fibroblasts,chondrocytes,osteoclasts,osteoblasts,osteoclasts,C,E - Skeletal System & Joints,AP-19-F-05-06,Explain bone remodeling and fracture repair cells.,Chapter 7: Skeletal System,Osteoclasts dissolve excess bony callus during the final remodeling stage of fracture healing to restore original bone shape.
Bone-forming cells that synthesize and deposit bone matrix are called,osteoclasts,osteoblasts,osteocytes,chondrocytes,osteoblasts,B,E - Skeletal System & Joints,AP-19-F-04-01,Identify the cells of bone tissue and their functions.,Chapter 7: Skeletal System,Osteoblasts are bone-forming cells that synthesize collagen fibers and organic matrix components promoting mineralization.
Most bones of the skeleton including long bones develop from hyaline cartilage models through the process of,intramembranous ossification,endochondral ossification,fibrous calcification,appositional remodeling,endochondral ossification,B,E - Skeletal System & Joints,AP-19-F-05-01,Distinguish between intramembranous and endochondral ossification.,Chapter 7: Skeletal System,Endochondral ossification is the developmental process where hyaline cartilage models are gradually replaced by mineralized bone matrix.
When blood calcium levels drop below normal which hormone is secreted to stimulate osteoclast activity and release calcium into the blood?,Calcitonin,Parathyroid hormone (PTH),Insulin,Growth hormone,Parathyroid hormone (PTH),B,E - Skeletal System & Joints,AP-19-F-05-02,Explain the hormonal control of bone remodeling and calcium homeostasis.,Chapter 7: Skeletal System,Parathyroid hormone (PTH) is secreted when blood calcium decreases stimulating osteoclasts to resorb bone and elevate circulating blood calcium.
How many cervical vertebrae are present in the normal human vertebral column?,5,7,12,4,7,B,E - Skeletal System & Joints,AP-19-F-07-01,Identify bones of the axial skeleton and vertebral regions.,Chapter 7: Skeletal System,The human neck contains 7 cervical vertebrae (C1 through C7).
The tough fibrous vascular membrane that covers the outer surface of a bone (except at joint surfaces) is called the,endosteum,periosteum,articular cartilage,epiphyseal plate,periosteum,B,E - Skeletal System & Joints,AP-19-F-03-02,Identify gross anatomical structures of a long bone.,Chapter 7: Skeletal System,The periosteum is a dense fibrous membrane covering external bone surfaces that supplies nutrients nerve fibers and osteogenic cells.
