Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
The minimal stimulus needed to cause a neuron to transmit an impulse is called the ________,action potential,resting potential,threshold,refractory period,threshold,C,G - Nervous System & Action Potentials,AP-19-G-04-02,Explain graded potentials and threshold stimulus.,Chapter 10: Nervous System I – Basic Structure and Function,Threshold potential (typically around -55 mV) is the minimum membrane depolarization required to open voltage-gated sodium channels and trigger an action potential.
A neuron with many processes one of which is an axon is classified structurally as ________,multipolar,bipolar,unipolar,pseudounipolar,multipolar,A,G - Nervous System & Action Potentials,AP-19-G-02-02,Classify neurons structurally as multipolar bipolar or unipolar.,Chapter 10: Nervous System I – Basic Structure and Function,Multipolar neurons have multiple dendrites and a single axon extending from the cell body representing the most common neuron type in the CNS.
Just before an action potential is generated which statement is correct regarding the movement of ions?,Potassium diffuses inward depolarizing membrane,Potassium diffuses inward polarizing membrane,Sodium diffuses inward depolarizing membrane,Sodium diffuses inward polarizing membrane,Sodium diffuses inward depolarizing membrane,C,G - Nervous System & Action Potentials,AP-19-G-04-03,Describe ionic movements during action potential initiation.,Chapter 10: Nervous System I – Basic Structure and Function,Opening of voltage-gated sodium channels allows rapid inward diffusion of Na+ ions depolarizing the axonal membrane toward threshold.
What is the role of calcium ions in the pre-synaptic knob?,Synaptic vesicles fuse to knob membrane,Release of neurotransmitters is inhibited,Neurotransmitters move back into pre-synaptic neuron,Sodium channels are blocked,Synaptic vesicles fuse to knob membrane,A,G - Nervous System & Action Potentials,AP-19-G-05-01,Describe presynaptic events during synaptic transmission.,Chapter 10: Nervous System I – Basic Structure and Function,Calcium influx into the presynaptic terminal triggers exocytosis causing synaptic vesicles to fuse with the presynaptic membrane and release neurotransmitters.
What is it called when a neuron is polarized further decreasing the likelihood that an action potential will be generated?,inhibition,facilitation,divergence,convergence,inhibition,A,G - Nervous System & Action Potentials,AP-19-G-05-01,Explain postsynaptic inhibition and hyperpolarization.,Chapter 10: Nervous System I – Basic Structure and Function,Inhibition occurs when hyperpolarizing IPSPs move the postsynaptic membrane potential further below threshold making action potential generation less likely.
Depolarization of the cell membrane occurs when there is a rapid influx (inflow) of,Potassium ions,Chloride ions,Sodium ions,Calcium ions,Sodium ions,C,G - Nervous System & Action Potentials,AP-19-G-04-03,Explain membrane depolarization during action potentials.,Chapter 10: Nervous System I – Basic Structure and Function,Rapid influx of positively charged sodium (Na+) ions through open voltage-gated channels reverses membrane polarity from negative to positive.
The dendrite and cell body of a neuron contain which of the following proteins?,Neurotransmitter receptors,Sodium channels,Potassium channels,All of the above,All of the above,D,G - Nervous System & Action Potentials,AP-19-G-02-01,Identify membrane proteins of neuronal dendrites and cell bodies.,Chapter 10: Nervous System I – Basic Structure and Function,The somatodendritic membrane houses chemically-gated neurotransmitter receptors ion channels and Na+/K+ pumps to process incoming postsynaptic signals.
Which neuroglial cells form the insulating myelin sheaths around axons located within the central nervous system (CNS)?,Schwann cells,Oligodendrocytes,Astrocytes,Microglia,Oligodendrocytes,B,G - Nervous System & Action Potentials,AP-19-G-03-01,Identify types and functions of neuroglia in the CNS and PNS.,Chapter 10: Nervous System I – Basic Structure and Function,Oligodendrocytes produce myelin sheaths around central nervous system axons whereas Schwann cells myelinate axons in the peripheral nervous system.
Star-shaped neuroglial cells in the CNS that support neurons regulate interstitial fluid and form the blood-brain barrier are called,astrocytes,ependymal cells,Schwann cells,satellite cells,astrocytes,A,G - Nervous System & Action Potentials,AP-19-G-03-01,Describe functions of astrocytes in maintaining the neural microenvironment.,Chapter 10: Nervous System I – Basic Structure and Function,Astrocytes provide structural support regulate ion/neurotransmitter concentrations and form perivascular feet constructing the blood-brain barrier.
The resting membrane potential of a typical neuron is approximately -70 mV which is primarily maintained by the active transport of,3 Na+ out of the cell for every 2 K+ into the cell,2 Na+ out of the cell for every 3 K+ into the cell,3 K+ out of the cell for every 2 Na+ into the cell,2 Ca2+ out of the cell for every 1 Na+ into the cell,3 Na+ out of the cell for every 2 K+ into the cell,A,G - Nervous System & Action Potentials,AP-19-G-04-01,Explain the ionic basis and transport mechanisms maintaining resting membrane potential.,Chapter 10: Nervous System I – Basic Structure and Function,The Na+/K+ ATPase pump actively transports 3 Na+ out of the cell for every 2 K+ into the cell per ATP hydrolyzed.
During the repolarization phase of an action potential the membrane potential returns toward resting potential due to the opening of voltage-gated,sodium channels allowing Na+ inflow,potassium channels allowing K+ outflow,calcium channels allowing Ca2+ inflow,chloride channels allowing Cl- outflow,potassium channels allowing K+ outflow,B,G - Nervous System & Action Potentials,AP-19-G-04-03,Describe ion flux events during action potential depolarization and repolarization.,Chapter 10: Nervous System I – Basic Structure and Function,Repolarization occurs when voltage-gated K+ channels open allowing positive potassium ions to diffuse out of the axon.
Action potentials travel significantly faster along myelinated axons because impulse conduction jumps from node to node a process called,continuous conduction,saltatory conduction,graded conduction,synaptic summation,saltatory conduction,B,G - Nervous System & Action Potentials,AP-19-G-04-04,Distinguish between continuous and saltatory action potential propagation.,Chapter 10: Nervous System I – Basic Structure and Function,Saltatory conduction is the rapid leaping of action potentials from one node of Ranvier to another in myelinated axons.
The cone-shaped region of the neuron cell body where the axon originates and where action potentials are generated (trigger zone) is the,dendrite,axon hillock,Nissl body,synaptic knob,axon hillock,B,G - Nervous System & Action Potentials,AP-19-G-02-01,Identify anatomical regions of a neuron.,Chapter 10: Nervous System I – Basic Structure and Function,The axon hillock acts as the trigger zone where graded potentials summarize to determine if threshold is reached to initiate an action potential.
The period during and immediately following an action potential during which another threshold stimulus cannot trigger a second action potential is called the,absolute refractory period,relative refractory period,latent period,resting period,absolute refractory period,A,G - Nervous System & Action Potentials,AP-19-G-04-03,Define absolute and relative refractory periods.,Chapter 10: Nervous System I – Basic Structure and Function,Inactivation of voltage-gated Na+ channels during the absolute refractory period prevents any subsequent action potential generation.
When a neurotransmitter opens chemically-gated sodium channels on the postsynaptic membrane causing a localized depolarization this response is called an,inhibitory postsynaptic potential (IPSP),excitatory postsynaptic potential (EPSP),action potential,absolute refractory potential,excitatory postsynaptic potential (EPSP),B,G - Nervous System & Action Potentials,AP-19-G-05-01,Distinguish between EPSP and IPSP graded potentials.,Chapter 10: Nervous System I – Basic Structure and Function,An EPSP is a localized graded depolarization of the postsynaptic membrane produced by Na+ influx driving the membrane potential closer to threshold.
