Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
The parietal and temporal bones of the skull are joined by a ________,suture,syndesmosis,amphiarthrosis,synovial joint,suture,A,E - Skeletal System & Joints,AP-19-F-08-02,Identify types and examples of fibrous joints.,Chapter 8: Joints of the Skeletal System,Sutures are immovable fibrous joints found exclusively between flat bones of the skull.
Which of the following is NOT a synovial joint?,condyloid,ball-and-socket,saddle,symphysis pubis,symphysis pubis,D,E - Skeletal System & Joints,AP-19-F-08-02,Distinguish between structural joint classifications.,Chapter 8: Joints of the Skeletal System,The symphysis pubis is a cartilaginous joint containing a fibrocartilaginous pad not a synovial joint.
Bones of a synovial joint are held together by ________,a synovial membrane,a joint capsule,a meniscus,a bursa,a joint capsule,B,E - Skeletal System & Joints,AP-19-F-08-03,Describe structural components of a synovial joint.,Chapter 8: Joints of the Skeletal System,The articular joint capsule encloses the joint cavity holding articulating bones together.
Which of the following movements could occur at the hip joint?,extension,adduction,rotation,all of these are correct,all of these are correct,D,E - Skeletal System & Joints,AP-19-F-08-05,Identify angular and rotational joint movements.,Chapter 8: Joints of the Skeletal System,As a multiaxial ball-and-socket joint the hip joint permits flexion extension abduction adduction circumduction and rotation.
Which of the following allows the most possible movements?,condyloid joint,hinge joint,ball-and-socket joint,pivot joint,ball-and-socket joint,C,E - Skeletal System & Joints,AP-19-F-08-04,Classify types of synovial joints by range of motion.,Chapter 8: Joints of the Skeletal System,Ball-and-socket joints offer multiaxial movement granting the greatest freedom of motion of all joint types.
What is the movement called that brings the foot closer to the shin?,extension,abduction,adduction,dorsiflexion,dorsiflexion,D,E - Skeletal System & Joints,AP-19-F-08-05,Describe special movements of the foot and ankle.,Chapter 8: Joints of the Skeletal System,Dorsiflexion bends the foot superiorly at the ankle joint towards the shin.
When you turn your head to look over your shoulder that is an example of,rotation,circumduction,elevation,pronation,rotation,A,E - Skeletal System & Joints,AP-19-F-08-05,Identify rotational movements of the head and spine.,Chapter 8: Joints of the Skeletal System,Turning the head side-to-side is cervical rotation occurring between the atlas and axis vertebrae.
Joints that are functionally classified as freely movable are termed,synarthrotic,amphiarthrotic,diarthrotic,fibrous,diarthrotic,C,E - Skeletal System & Joints,AP-19-F-08-01,Compare functional classifications of joints: synarthrotic amphiarthrotic diarthrotic.,Chapter 8: Joints of the Skeletal System,Diarthrotic joints are functionally defined as freely movable joints comprising all synovial joints.
Intervertebral discs between adjacent vertebrae are classified structurally as which type of cartilaginous joint?,Synchondrosis,Symphysis,Syndesmosis,Gomphosis,Symphysis,B,E - Skeletal System & Joints,AP-19-F-08-02,Identify types and structural characteristics of cartilaginous joints.,Chapter 8: Joints of the Skeletal System,A symphysis is a cartilaginous joint where bone ends are connected by a resilient pad of fibrocartilage.
Which tissue covers the articulating bone ends within a synovial joint to reduce friction and absorb shock?,Fibrocartilage,Articular (hyaline) cartilage,Dense regular connective tissue,Elastic cartilage,Articular (hyaline) cartilage,B,E - Skeletal System & Joints,AP-19-F-08-03,Describe functions of articular cartilage in synovial joints.,Chapter 8: Joints of the Skeletal System,A smooth layer of articular hyaline cartilage covers bone epiphyses in synovial joints to minimize friction during joint movement.
Fluid-filled sacs lined with synovial membrane that cushion tendons passing over bony prominences are called,menisci,bursae,ligaments,trabeculae,bursae,B,E - Skeletal System & Joints,AP-19-F-08-03,Describe accessory synovial structures including bursae and tendon sheaths.,Chapter 8: Joints of the Skeletal System,Bursae are fluid-filled sacs that reduce friction where tendons ligaments or muscle rub against bones.
The elbow joint (between the humerus and ulna) is an example of which type of synovial joint?,Pivot joint,Hinge joint,Plane (gliding) joint,Saddle joint,Hinge joint,B,E - Skeletal System & Joints,AP-19-F-08-04,Identify examples and movements of hinge joints.,Chapter 8: Joints of the Skeletal System,Hinge joints permit uniaxial movement in one plane allowing flexion and extension at the elbow and knee.
Moving a limb away from the midline of the body along the frontal plane is defined as,adduction,abduction,flexion,pronation,abduction,B,E - Skeletal System & Joints,AP-19-F-08-05,Define angular movements including abduction and adduction.,Chapter 8: Joints of the Skeletal System,Abduction is the angular movement of a body part laterally away from the midline.
Turning the hand so that the palm faces anteriorly (or upward in anatomical position) is called,pronation,supination,eversion,inversion,supination,B,E - Skeletal System & Joints,AP-19-F-08-05,Distinguish between supination and pronation of the forearm.,Chapter 8: Joints of the Skeletal System,Supination rotates the forearm laterally so the palm faces anteriorly (or upward).
Turning the sole of the foot laterally outward is known as,inversion,eversion,dorsiflexion,plantar flexion,eversion,B,E - Skeletal System & Joints,AP-19-F-08-05,Describe special foot movements: inversion and eversion.,Chapter 8: Joints of the Skeletal System,Eversion turns the sole of the foot laterally outward away from the body midline.
