Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
The ability of an organism to sense changes that take place within its body is an example of,movement,respiration,responsiveness,absorption,responsiveness,C,A - Body Plan & Organization,AP-19-A-06-02,Give an example of each level of organization.,Chapter 1: Introduction to Anatomy and Physiology,Responsiveness (or irritability) is the characteristic of life that enables organisms to sense internal or external environmental changes and react to them.
Which of the following processes is concerned with creating new organisms similar to the parents?,responsiveness,movement,reproduction,metabolism,reproduction,C,A - Body Plan & Organization,AP-19-A-06-01,"Describe, in order from simplest to most complex, the major levels of organization in the human organism.",Chapter 1: Introduction to Anatomy and Physiology,Reproduction is the process of generating new cells or new individual organisms to ensure species continuity.
A section that separates the body into right and left portions would be a,frontal section,transverse section,coronal section,sagittal section,sagittal section,D,A - Body Plan & Organization,AP-19-A-02-01,Identify and define the anatomic planes in which a body might be viewed.,Chapter 1: Introduction to Anatomy and Physiology,A sagittal plane divides the body vertically into right and left portions. A midsagittal section divides it into equal right and left halves.
The thoracic cavity lies where in relation to the abdominopelvic cavity?,dorsal (posterior),ventral (anterior),superior,inferior,superior,C,A - Body Plan & Organization,AP-19-A-03-01,Identify and describe the location of the body cavities and the major organs found in each cavity.,Chapter 1: Introduction to Anatomy and Physiology,"The thoracic cavity is positioned superior to (above) the abdominopelvic cavity, separated by the muscular diaphragm."
Mechanisms to control body temperature and pressure maintaining a stable internal environment are examples of,negative feedback,positive feedback,neither,both,negative feedback,A,B - Homeostasis,AP-19-B-02-03,"Compare and contrast positive and negative feedback in terms of the relationship between stimulus and response, and describe examples of each.",Chapter 1: Introduction to Anatomy and Physiology,"Negative feedback mechanisms act to oppose or reverse the initial deviation from a set point, maintaining homeostatic stability for body temperature and blood pressure."
In homeostasis body parts function efficiently only when the concentrations of water food substances and oxygen and the conditions of heat and pressure,remain perfectly static and do not vary,remain within certain limited ranges,never go up or down,fluctuate greatly between very high and low values,remain within certain limited ranges,B,B - Homeostasis,AP-19-B-01-05,Define the law of mass balance and relate it to body homeostasis.,Chapter 1: Introduction to Anatomy and Physiology,"Homeostasis maintains dynamic equilibrium where internal physiological variables fluctuate within narrow, compatible limits (normal range)."
In the anatomical position what is the position of the palms and forearms?,Palms facing anteriorly/forearm pronated,Palms facing anteriorly/forearm supinated,Palms facing posteriorly/forearm pronated,Palms facing posteriorly/forearm supinated,Palms facing anteriorly/forearm supinated,B,A - Body Plan & Organization,AP-19-A-01-01,Describe the human body in anatomical position.,Chapter 1: Introduction to Anatomy and Physiology,"In standard anatomical position, the body is standing erect, facing forward, with upper limbs at the sides and palms facing forward (anteriorly), which means the forearms are supinated."
Frontal (or coronal) refers to a cut that divides the body into,Superior and inferior portions,Anterior and posterior portions,Left and right portions,From the middle,Anterior and posterior portions,B,A - Body Plan & Organization,AP-19-A-01-02,Describe how to use the terms right and left in anatomical reference.,Chapter 1: Introduction to Anatomy and Physiology,A frontal (coronal) section divides the body vertically into anterior (front) and posterior (back) portions.
Homeostasis is defined as the,ability of human beings to keep weight within normal limits,maintenance of a constant external temperature inside a room,ingestion of enough food to keep hunger pains from developing,tendency of the body to maintain a stable environment,tendency of the body to maintain a stable environment,D,B - Homeostasis,AP-19-B-01-03,List the main physiological variables for which the body attempts to maintain homeostasis.,Chapter 1: Introduction to Anatomy and Physiology,Homeostasis is the physiological maintenance of a relatively stable internal environment despite continuous external fluctuations.
Which gland is located in the pelvic region?,ovary,adrenal gland,pancreas,thymus,ovary,A,A - Body Plan & Organization,AP-19-A-03-02,List and describe the location of the major anatomical regions of the body.,Chapter 1: Introduction to Anatomy and Physiology,The ovaries are female reproductive glands located in the pelvic cavity of the lower abdominopelvic basin.
