Question,Option A,Option B,Option C,Option D,Correct Answer,Letter Answer,Subject,SLO,SLO Description,Chapter,Explanation
Which division of the nervous system is concerned with voluntary movement?,somatic,autonomic,sympathetic,parasympathetic,somatic,A,G - Nervous System & Action Potentials,AP-19-G-01-01,Distinguish between somatic and autonomic nervous system divisions.,Chapter 11: Nervous System II – Divisions of the Nervous System,The somatic nervous system consists of cranial and spinal motor nerve fibers that transmit voluntary signals from the CNS to skeletal muscles.
Which division of the nervous system is responsible for initiating the fight-or-flight reaction?,parasympathetic,sympathetic,somatic,sensory,sympathetic,B,G - Nervous System & Action Potentials,AP-19-G-08-01,Describe functions of the sympathetic autonomic nervous system.,Chapter 11: Nervous System II – Divisions of the Nervous System,The sympathetic division prepares the body for stressful emergency or high-energy physical situations ('fight-or-flight').
Which of the following lists the parts of a reflex arc in the correct sequence?,receptor / sensory / motor / interneuron / effector,effector / receptor / sensory / motor / interneuron,receptor / sensory / interneuron / motor / effector,effector / sensory / receptor / interneuron / motor,receptor / sensory / interneuron / motor / effector,C,G - Nervous System & Action Potentials,AP-19-G-01-01,Trace the pathway of a reflex arc.,Chapter 11: Nervous System II – Divisions of the Nervous System,A reflex arc proceeds in order: receptor -> sensory neuron -> interneuron (in CNS) -> motor neuron -> effector organ.
Which lobe of the cerebrum is most responsible for higher intellectual functions like problem solving?,occipital lobe,temporal lobe,parietal lobe,frontal lobe,frontal lobe,D,G - Nervous System & Action Potentials,AP-19-G-07-01,Identify cerebral lobes and their functional specializations.,Chapter 11: Nervous System II – Divisions of the Nervous System,The frontal lobe houses the prefrontal cortex responsible for planning reasoning decision making and complex cognitive behavior.
What is a major role of the cerebellum?,Maintaining posture by influencing muscle tone,Analyzing visual information,Analyzing sound,Regulating depth and rate of breathing,Maintaining posture by influencing muscle tone,A,G - Nervous System & Action Potentials,AP-19-G-07-01,Describe functions of the cerebellum in motor control.,Chapter 11: Nervous System II – Divisions of the Nervous System,The cerebellum coordinates voluntary skeletal muscle movements maintains posture and regulates body balance and muscle tone.
The cell bodies of which type of neuron lie outside the spinal cord in the dorsal root ganglion?,motor neurons,efferent neurons,sensory neurons,interneurons,sensory neurons,C,G - Nervous System & Action Potentials,AP-19-G-02-02,Identify locations of sensory neuron cell bodies in dorsal root ganglia.,Chapter 11: Nervous System II – Divisions of the Nervous System,Unipolar sensory (afferent) neuron cell bodies reside outside the spinal cord inside dorsal root ganglia.
Which type of neurons exit the spinal cord through the ventral roots of spinal nerves?,motor neurons,afferent neurons,sensory neurons,interneurons,motor neurons,A,G - Nervous System & Action Potentials,AP-19-G-01-01,Describe spinal nerve roots and motor pathways.,Chapter 11: Nervous System II – Divisions of the Nervous System,Motor (efferent) neuron axons exit the spinal cord via ventral (anterior) roots to innervate peripheral effector organs.
This structure connects the brain and spinal cord and contains nuclei that transmit impulses from the cardiac center to the heart:,midbrain,medulla oblongata,pons,hypothalamus,medulla oblongata,B,G - Nervous System & Action Potentials,AP-19-G-07-01,Describe functions of brainstem centers in the medulla oblongata.,Chapter 11: Nervous System II – Divisions of the Nervous System,The medulla oblongata connects the brain to the spinal cord and houses vital autonomic centers including cardiac vasomotor and respiratory centers.
Which portion of a reflex arc is most likely to be located entirely within the central nervous system?,sensory neuron,motor neuron,interneuron,receptor cell,interneuron,C,G - Nervous System & Action Potentials,AP-19-G-01-01,Identify components of a reflex arc.,Chapter 11: Nervous System II – Divisions of the Nervous System,Interneurons (association neurons) reside entirely within the gray matter of the brain and spinal cord (CNS) serving as processing centers in complex reflex arcs.
Which of the meninges is intimately attached to the surface of the brain and spinal cord?,dura mater,arachnoid mater,pia mater,subdural space,pia mater,C,G - Nervous System & Action Potentials,AP-19-G-06-01,Describe meningeal layers covering the brain and spinal cord.,Chapter 11: Nervous System II – Divisions of the Nervous System,The pia mater is the innermost delicate highly vascular meningeal layer that directly adheres to the surface contours of the brain and spinal cord.
